"Laenderarbeitskreis Energiebilanzen"
"Endenergieverbrauch nach Energietraegern "
"Einheit: Terajoule"
" "
Land;Jahr;Anm;Insgesamt;Steinkohle;Braunkohle;"Mineraloele und Mineraloel produkte";Gase;"Erneuerbare Energietraeger";Strom;Fernwaerme;"Andere Energietraeger";Stand
Baden-Wuerttemberg;1991;;1030789;22278;5923;597134;167214;8133;203520;26587;0;
Baden-Wuerttemberg;1992;;1040696;21339;5170;605576;170930;7280;204821;25580;0;
Baden-Wuerttemberg;1993;;1059453;18843;5292;620168;178294;7468;203180;26208;0;
Baden-Wuerttemberg;1994;;1027431;18307;5112;589899;176644;8350;204089;25030;0;
Baden-Wuerttemberg;1995;;1050679;20820;4027;588506;192604;7622;208471;28629;0;
Baden-Wuerttemberg;1996;;1092577;15603;4147;606270;214153;7752;214242;30410;0;
Baden-Wuerttemberg;1997;;1072431;15484;4173;592127;205396;9445;214534;31272;0;
Baden-Wuerttemberg;1998;;1094723;12984;3208;595557;218818;9734;218540;35882;0;
Baden-Wuerttemberg;1999;;1090105;13372;2785;574672;226531;10064;225986;36695;0;
Baden-Wuerttemberg;2000;;1062956;13810;3344;552215;215867;10398;228962;38360;0;
Baden-Wuerttemberg;2001;;1118815;13958;2945;572898;225169;16258;245584;42003;0;
Baden-Wuerttemberg;2002;;1048780;14424;1997;539625;195458;10464;244452;42360;0;
Baden-Wuerttemberg;2003;;1120816;9578;3094;527617;228173;40759;262748;46298;2549;31.03.2009
Baden-Wuerttemberg;2004;;1114639;6080;4229;512037;233479;41595;262861;51013;3345;31.03.2009
Baden-Wuerttemberg;2005;;1126948;8174;3722;495842;256827;47551;259906;51003;3923;31.03.2009
Baden-Wuerttemberg;2006;;1143872;7396;4421;499981;252194;60577;264655;50328;4320;20.08.2009
Baden-Wuerttemberg;2007;;1062989;7958;4462;423174;244833;62582;265005;49272;5703;31.08.2009
Baden-Wuerttemberg;2008;;1100053;7025;4087;463851;244695;63402;263435;50162;3395.53257979743;15.04.2011
Baden-Wuerttemberg;2009;;1037918;4742;3860;435404;221847;61055;256745;49109;5156.285517105547;18.04.2011
Baden-Wuerttemberg;2010;;1064922.13076538;6210;4203.27332;437167;223842.685929704;74312.1715156756;261853;51812;5522.51109692506;30.07.2013
Baden-Wuerttemberg;2011;;1026214;5377;5550;438030;210806;70596;246407;43721;5726.58437422632;12.11.2013
Baden-Wuerttemberg;2012;;1011785.2962;3508.6773000000003;5047.7504;435270.0236;205155.0878;70045.7713;244305.2134;43418.611;5034.161393509607;16.03.2015
Baden-Wuerttemberg;2013;;1059858.28;3113.03;4428.62;450145.51000000007;227074.91;73846.86;247717.94;46990.81;6540.612805210991;18.03.2016
Baden-Wuerttemberg;2014;;994725.55;4393.9;4055.09;430495.03;202717.89;71052.40000000001;236731.45;38015.02;7264.79087284028;13.02.2017
Baden-Wuerttemberg;2015;;1024534.9845977;4434.027499747001;4358.07887809961;438563.5429011233;220483.344704591;72516.01439410364;237205.756059386;39828.0568;7146.16336065097;31.01.2018
Baden-Wuerttemberg;2016;;1047694.76916756;3470.55136064043;5103.59461931196;446114.6632685514;231104.940227119;77760.839697522;237512.590109863;40889.93201;5737.657874554935;01.02.2019
Baden-Wuerttemberg;2017;;1045932.25900935;3831.87598;5460.74635145154;451278.78552361066;229881.288946927;77755.73618391488;229493.759383442;42168.70882;6061.35782;05.03.2020
Bayern;1991;;1261677;23480;11985;738851;226659;11052;221720;27930;0;12.10.2016
Bayern;1992;;1255391;23971;12989.804066;727945;229615;11027;223081;26762;0;12.10.2016
Bayern;1993;;1305414;21326;10223.522260000002;772594;240993;10710;220424;29143;0;12.10.2016
Bayern;1994;;1276483;21658;8982.06744;747525;235102;13445;222933;26831;0;12.10.2016
Bayern;1995;;1336947;21924;8002.45239;742701;258044;35777;238916;31582;0;12.10.2016
Bayern;1996;;1390970;20450;9578.964;770499;282451;36686;238144;33161;0;12.10.2016
Bayern;1997;;1363902.77587165;19323;7951.598085199999;755898;276208;37278.77587164649;239685;27559;0;12.10.2016
Bayern;1998;;1384795.44432922;18029.1494812892;5839.394944;777819.2131165393;273275.08957561;37372.06731157842;244296.92628;28162.68;0;12.10.2016
Bayern;1999;;1383227.48595154;15809.8381689686;5149.3799510479;756289.927249;287464.2731651124;38909.20786085822;250598.252448;29007.16;0;27.09.2001
Bayern;2000;;1371206.7194007;19641.5595379995;5211.12521259681;732527.312962;279478.3986553071;43936.17032235885;260382.46392;30030;0;08.12.2002
Bayern;2001;;1420250.56966296;16390.952137916098;4570.972406461709;760128.16056;290505.415008768;43870.54396477792;272306.936232;32477.9;0;28.11.2003
Bayern;2002;;1370207.34689672;14668.28522664307;3987.4075980000002;715728.4564930002;289951.607349608;47005.73771606524;265832.854848;33033;0;10.01.2005
Bayern;2003;;1359545.50909978;11412.39329700001;3628.5501354999997;696809.1361200002;293643.31216940546;60970.96114660979;249605.1108;43476.0444;0;29.11.2006
Bayern;2004;;1353160.78558292;10213.045286;3990.7216002000005;688370.879524;296512.288289939;51281.12094846675;257511.6036;40758.1416;4522.985;28.09.2019
Bayern;2005;;1322398.82590286;6493.37092120634;4645.044722;670697.918442324;265957.283832706;55340.05907687299;269350.649136;45204.501888;4710.03348;26.10.2009
Bayern;2006;;1370178.37399182;9296.8854155924;4907.7024328005145;685039.3698065936;281384.848287387;65383.31285299301;275587.18884;43488.657324;5090.5723100000005;18.11.2009
Bayern;2007;;1264865.99501446;10387.1582979579;5271.7499071802695;589994.345204385;268759.500892523;59968.02549220528;283625.156052;40651.48296;6208.8127282141795;30.11.2009
Bayern;2008;;1345034.78108418;;5114.716262330504;643054.2011810574;287513.722186885;;288980.777124;41465.249172;7256.280692;29.04.2013
Bayern;2009;;1305198.66714657;;4424.387831;;282596.486676855;;278145.618228;43599.883788;9560.96236896118;29.04.2013
Bayern;2010;;1404878.66601856;;6784.8133769999995;;300011.472872076;;296337.64176;47000.341512;8667.19756123551;29.04.2013
Bayern;2011;;1391402.37756814;;7653.537442;;283704.242485108;120678.18561484573;304097.009256;44272.445784;8417.76899864295;07.03.2017
Bayern;2012;;1385984.74041692;;7466.533090000001;;290538.077023428;133516.32510569075;282599.444072584;47000.5252;12974.1312120107;30.12.2015
Bayern;2013;" BY1), LAK2)";1399107.551;;7529.093247000001;615820.0336675999;284779.803;137855.5641886;279127.7182;48911.09456;16089.30705;21.21.2015
Bayern;2014;" BY2), LAK2)";1332450.428;;6668.8930709999995;599154.853162;260061.6325;124367.53086799999;272373.4138;43385.59432;17040.88261;21.11.2018
Bayern;2015;" BY2), LAK2)";1365584.515;;6542.2874;610670.5160409999;268313.3824;131064.665534;278439.5838;45924.7418;16126.614660000001;21.11.2018
Bayern;2016;" BY2), LAK2)";1410431.986;;7771.44556;622163.538371;285418.8852;145007.06478500002;276554.4426;48897.40344;17033.46676;21.11.2018
Bayern;2017;" BY2), LAK2)";1423502.285;;8796.53567954;626264.601185;287994.4159;147748.83489488;278785.7166;49554.46012;16627.64249;21.11.2019
Berlin;1991;;274737.899884665;6239;18803;128337;28572;77;46108.8998846647;46601;0;
Berlin;1992;;239839.542650908;4139;17466;102709;24233;775;45434.5426509078;45083;0;
Berlin;1993;;274413.18094532;3273;15196;130325;32382;509;46883.1809453197;45845;0;
Berlin;1994;;264112.591280913;2600;15711;124130;31424;287;46936.5912809131;43024;0;
Berlin;1995;;261207.502052784;746;9266;125539;36657.5020527835;17;46994;41988;0;
Berlin;1996;;270786.579691959;911;7504;129923;44628.5796919591;39;47061;40720;0;
Berlin;1997;;254572.51380826;829;3292;125883;38226.5138082598;35;46525;39782;0;
Berlin;1998;;247306.916167783;249.426003;1738.177326;126106.12999999999;32315.7788285834;41.6364102;46855.7676;40000;0;
Berlin;1999;;265706.247430598;306.70318699999996;1354.433309;131709.680769;50535.9879731981;31.0606184;46814.3172;34954.064374;0;
Berlin;2000;;270182.91034485;204.93295099999997;1022.557092;128305.532;53084.6376862501;25.6650156;47576.1276;39963.458;0;
Berlin;2001;;277159.312723356;235.822134;1005.060588;136711.75;60913.2886867561;20.074514600003607;43089.0768;35184.24;0;
Berlin;2002;;265273.588679393;69.296762;555.091596;126405.420766;61776.9637243927;24.567431;41622.0084;34820.24;0;
Berlin;2003;;275859.168701975;42.6524;627.04;122996.6051044;62705.3200941755;138.2043034;47060.1468;42289.2;0;
Berlin;2004;;270590.070206677;37.181052;531.536226;114842.086646;65672.8196425427;909.813864534;46715.374764;41881.2580116;0;
Berlin;2005;;259120.786993367;40.53783;440.19452599999994;111550.45111699;59864.6751431344;1959.6467772421902;44353.2816;40912;0;
Berlin;2006;;264187.360537167;22.847566;476.00928;116238.38437096502;56540.3855338017;3513.8;48310.2468;39085.6869864;0;
Berlin;2007;;232462.701910127;12.826861000000001;328.379283;91363.03063298584;52289.0275981411;3823.631135;47580.5016;37065.3048;0;
Berlin;2008;;247916.675913348;6.98464;720.731848;104670.57011304799;53173.3208;3425.6073123;48167.3124;37752.1488;0;
Berlin;2009;;249245.462717803;2.921349;647.289134;95869.99298013779;64691.931811579;3324.5536230862;44000.429004;40708.344816;0;
Berlin;2010;;270980.761626132;1.445808;766.47324;98583.52150366438;69866.4623207895;3653.56967367772;51591.402;46517.88708;0;
Berlin;2011;;241218.057968827;1.468138;556.371748;89196.66228055101;58394.9238856567;3681.29384861976;50208.0804;39179.257668;0;
Berlin;2012;;243593.368901118;2.217188;547.3073939999999;94201.2737923813;53501.2380161184;4443.48891061868;49917.3876;40980.456;0;
Berlin;2013;;252085.232441502;1.5145;576.509404;97725.8060210775;60773.7072206579;4563.8096957669995;49026.5784;39417.3072;0;
Berlin;2014;;233467.503340512;1.338974;386.620435;95992.1321820993;51004.9723789474;3732.1873704649497;48326.0688;34024.1832;0;
Berlin;2015;;228696.984150945;0;402.29585299999997;92445.97943691594;46751.8696864048;3713.954374624198;48095.6688;37287.216;0;
Berlin;2016;;235894.632708047;0;397.56931000000003;93618.36292129976;51170.4243659489;3906.76071079827;48229.4018;38572.1136;0;
Berlin;2017;;235805.833179462;0;419.3566197;94631.54067324905;50067.460768417;4031.746318095509;47371.5676;39284.1612;0;18.12.2019
Brandenburg;1991;;269647;20364;73212;84352;29712;1287;31968;28752;0;
Brandenburg;1992;;245105;17105;41338;94425;28382;1149;32663;30043;0;
Brandenburg;1993;;255322;19606;28431;108391;36566;1028;33868;27432;0;
Brandenburg;1994;;249097;19532;20558;109358;36005;913;34834;27897;0;
Brandenburg;1995;;273319.325;23545.553;16635.553;121559.33099999999;46247.888;1195;38059;26077;0;
Brandenburg;1996;;275191.463;20076.652000000002;13785;122530.93100000001;51277.08;1262;41932.8;24327;0;
Brandenburg;1997;;282966.11;22235.531000000003;10537.006;122734.973;58922;1290;44751.6;22495;0;
Brandenburg;1998;;292273.434;21102.222;8480;124380.06000000001;66565.152;3813;45549;20793;1591;
Brandenburg;1999;;274349.373327853;20396.905790999997;7802.718809;121439.035451;64565.303199999995;4640.42344785276;39704.85;14832.1;967.640103;
Brandenburg;2000;;286876.833002625;20570.887328;6735.877512;118570.34808399998;76336.93465;4155.74023862526;43922.0664;14358.48;2226.49879;
Brandenburg;2001;;299207.999651185;21501.152109000002;6759.377968;118461.41812;80031.8126062974;2799.705472732494;52480.0368;15193.56;1980.936575154996;
Brandenburg;2002;;307631.726761756;23366.903912;5144.723729508851;113800.33077500001;85272.83773524681;5324.19268;54870.678;18381.113928;1470.946002;
Brandenburg;2003;;296118.223562649;20484.9383246;5833.428184947869;109687.146;75726.9135988354;9651.384168265864;51903.12924;18871.3692;3959.914846;
Brandenburg;2004;;300913.227583962;18410.298853313;6603.177422000001;105060.75430100001;79305.51410544752;11740.020221801804;58483.8288;17732.6616;3576.9722804;
Brandenburg;2005;;300236.355014154;22924.4857072;5999.236397;99943.0053399623;84155.4525481916;12637.6135418;54570.186;17503.41768;2502.9578;
Brandenburg;2006;;314601.452177399;26645.606613481003;6284.363232;99556.9120334053;80612.5497448304;28992.831371482;53113.8757392;17708.359048;1686.954395000001;
Brandenburg;2007;;299116.226984659;27406.051545000002;5139.414608000001;93458.39871455001;67745.4867349089;34613.971927000006;52233.3511992;16662.560776;1856.9914800000001;
Brandenburg;2008;;290861.9579;15274.362391999999;4858.052862;97201.24278599999;66544.596316;33091.01134;54076.7556;17500.2876;2315.6490000000003;
Brandenburg;2009;;279299.656;15095.779515;4207.419161;93587.39724100001;60229.32666599999;32056.323190000003;52824.2364;18019.0368;3280.1369999999997;
Brandenburg;2010;;298348.525;18735.762639;4537.670852;97555.83650745;65502.609752000004;36653.19513;49251.15371;20883.888;5228.408402999999;
Brandenburg;2011;;295570.9087;20293.034440000003;4648.307231999999;90600.75543;66992.08229;38673.72715;54694.1952;17650.42945;2018.3775;
Brandenburg;2012;;296725.4268;16094.924576;6129.754513;92633.96143;64143.636686;38455.53082;57132.8712;20361.1752;1773.572401;
Brandenburg;2013;;309741.6377;21391.109819999998;6217.385226;95483.21673500001;69403.88659;40916.06048;55685.0448;18274.2336;2370.7005;
Brandenburg;2014;;298892.737557343;21377.220633999998;5630.20399;94458.88689567051;66409.2288313425;33618.8119403295;58640.4972;17645.848956;1112.03911;
Brandenburg;2015;;293435.6383;11706.318098;6242.586197;94383.75569661;67729.27657;34951.783916;59189.0898;18057.45481;1175.373245;
Brandenburg;2016;;307955.800575786;19099.736961183007;5860.542373;100620.39060848452;71434.8897765433;35469.297851574884;55588.8122;18889.61925;992.511555;
Brandenburg;2017;;318028.63736474;22083.410121015;6984.343419430001;101961.43811532126;71844.51463299159;39036.15165598188;54389.6154;19530.28047;2198.88355;03.03.2020
Bremen;1991;;121580.122481086;20930.146885000002;286.628281;49480.38107625781;31788.2386475619;46.7789872666667;15034.5828;4013.365804;0;
Bremen;1992;;118479.847146424;18246.570424999998;185.03593600000002;50287.299507891;30562.777696;35.8871575333333;15101.4564;4060.820024;0;
Bremen;1993;;114900.915849378;15956.907815;122.399065;48708.2144778852;31028.535081982103;25.8877564;14741.5733352;4317.39831791045;0;
Bremen;1994;;122097.379955747;19167.042011279333;107.391749;50317.4723262033;32810.316707741804;26.4929666;15549.9999696;4097.06422532283;21.6;
Bremen;1995;;121125.597936975;16765.70458527;117.878557;51287.360572151105;32805.4246896183;27.6989908;15539.4077823043;4418.03875983099;164.084;
Bremen;1996;;127032.974317347;19434.04928643318;110.972177;49868.080240019306;35285.602771685;11.2087682;15587.2359140097;4953.82516;1782;
Bremen;1997;;125605.673190245;19284.618551;91.249938;48504.987202844306;33972.7369121641;19.3261186;15964.15068;4689.60378763636;3079;
Bremen;1998;;120266.812680011;18968.461028;58.556445;45084.72459693401;32563.3582425714;38.0241892;15750.3124476;4773.82146470588;3027;
Bremen;1999;;114818.270153839;18651.701492;88.46444;41267.2392066201;31713.0936285781;34.472363;15476.6546136;4624.64441004082;2962;
Bremen;2000;;123645.235690547;27649.008866;128.737704;37823.077150078214;33646.0073802909;41.50602408;15914.2605372;4647.63802889796;3795;
Bremen;2001;;125550.506822443;27981.823767;126.184134;39568.491689395305;32601.8576991609;48.7121137576;16979.6326356;4832.80478352941;3411;
Bremen;2002;;121558.133848697;28637.213002;110.637424;35029.08770832224;31761.2003721171;63.3934362576;17194.813056;4914.78885;3847;
Bremen;2003;;124647.027984677;30221.2222985;101.49002239999999;33915.68141123912;33246.1765082244;1436.1035339138703;17399.951064;5068.4031464;3258;
Bremen;2004;;109720.548107688;20985.305189;93.9836039;31909.694413921672;31585.5119028255;841.0042780413098;17504.81712;4803.2316;1997;
Bremen;2005;;96486.4215879265;17187.348126599998;122.290517;28318.182525369997;28455.7804316993;638.8574596897932;16425.1492475674;4775.81328;563;
Bremen;2006;;103033.658874532;19352.3235526;234.05045280000002;27851.4765664;31758.9786817102;1184.0495174220782;17599.98618;4713.7939236;339;
Bremen;2007;;113960.404247525;33943.852695;258.979856;23753.92863982;32445.6591464653;1365.0344042394868;17744.074686;4448.87482;0;
Bremen;2008;;112088.282854748;32012.2675416;321.941712;25827.820103133396;31313.901803428904;1063.892642585724;17039.9552256;4508.5038264;0;
Bremen;2009;;104221.866073777;26474.8071518;348.00764196;25298.130092080002;30173.4262903979;1002.994794072768;16597.7198568;4326.78024666667;0;
Bremen;2010;;116610.458717162;33356.130776800004;268.5593844;25617.463083986317;33868.0629827912;1372.4056190059991;17313.5154744;4814.32139577795;0;
Bremen;2011;;113334.92262453;32747.857381200003;337.144604;24661.292920405653;33217.2062873706;1337.9494122138108;16900.6820341818;4132.78998515855;0;
Bremen;2012;;111743.239191857;32992.148234;1201.437756;25033.248544298684;29631.351178326302;1084.6475469772627;17443.5914484;4356.81448385457;0;
Bremen;2013;;111014.703706468;26254.4239564;4400.9040589999995;24129.494067682142;33123.0592693153;1033.4008147403144;17326.2101144727;4747.21142485705;0;
Bremen;2014;;117879.959744747;34908.330506;3374.88791;24151.25867994491;31946.8087760668;2062.3713183464392;17268.51592872;4167.78662566902;0;01.12.2016
Bremen;2015;;115743.126267462;33398.4997302;3538.2439617;24018.401877267785;32061.4076654448;1246.2050841984192;17234.2678464;4246.10010225115;0;25.01.2017
Bremen;2016;;116593.475662641;34443.442224;3743.90678451;24161.809300774865;31748.9331572153;1009.252796221274;17211.00748792;4275.123912;0;13.11.2018
Bremen;2017;;111771.802882106;28522.5631152;3690.87248578;24307.01805152825;33707.547296659104;1035.9875521241902;16225.0415641922;4282.77281662184;0;12.03.2020
Hamburg;1991;;209610.816;1494.708;644.776;98211.10800000001;48153.044;0;42437.984;18669.196;0;01.06.2019
Hamburg;1992;;199997.792;1494.708;644.776;88363.62;47684.116;0;43229.3;18581.272;0;01.06.2019
Hamburg;1993;;206386.936;1494.708;644.776;90268.64000000001;51904.468;0;43786.152;18288.192;0;01.06.2019
Hamburg;1994;;204306.068;1494.708;556.852;88920.47200000001;53018.172;0;43639.612;16676.252;0;01.06.2019
Hamburg;1995;;204575;245;389;87820;57378;0;43510;15233;0;01.06.2019
Hamburg;1996;;216258;245;389;90462;64075;0;44157;16930;0;01.06.2019
Hamburg;1997;;208616;245;441;87969;60572;0;44179;15210;0;01.06.2019
Hamburg;1998;;;;;;;;;;;
Hamburg;1999;;;;;;;;;;;
Hamburg;2000;;;;;;;;;;;
Hamburg;2001;;;;;;;;;;;
Hamburg;2002;;;;;;;;;;;
Hamburg;2003;;197155.387050678;231.4120227;190.91619;74674.69214338523;55959.9051427744;889.0226078181878;46309.791276;18899.647668;0;01.06.2019
Hamburg;2004;;196439.916611651;243.7102602;208.85086;74618.71858463353;55887.5152384081;1154.2341881317875;46507.7628;17819.1246802775;0;01.06.2019
Hamburg;2005;;191891.611209032;73.486278;163.340149;72041.67834256592;51265.4511814524;2110.965352102631;47876.03928;18360.6506259105;0;01.06.2019
Hamburg;2006;;191450.585569117;113.48301000000001;245.604199;73686.51746821417;54640.8651122983;3552.9991;41652.0864;17559.0302796047;0;01.06.2019
Hamburg;2007;;183880.1354118;120.01085;228.2060607271259;68115.9283168025;51483.5337652058;4221.62462;43684.3764;16026.455399065;0;01.06.2019
Hamburg;2008;;184958.941488981;145.230334;186.855228;69484.41617925312;50087.1347628186;3267.71926042;45672.7788;16114.8069244893;0;01.06.2019
Hamburg;2009;;181580.67088404;458.223539;284.416552;66699.2666862453;51565.724375267;3469.616211527349;42315.46056;16787.96296;0;01.06.2019
Hamburg;2010;;189393.922842708;482.549448;359.40626899999995;68003.57847588135;51690.0326596009;3236.5882022253477;46634.093208;18986.84258;0.832;01.06.2019
Hamburg;2011;;177738.942398389;125.83980076;277.881685;64237.578933814875;47552.8454101982;3136.9790006163107;46442.25648;15965.561088;0;01.06.2019
Hamburg;2012;;181407.052928353;116.016962;208.69655999999998;64595.02279240761;51180.044848425;3403.468093520803;45216.814712;16686.98896;0;01.06.2019
Hamburg;2013;;178699.962103641;122.55334;205.42468;66097.43055090023;47306.9246949483;3153.827631903644;44800.611627;17013.1895788889;0;01.06.2019
Hamburg;2014;;168703.30496433;87.798438;183.04696;65878.06834810214;40221.4609655037;3229.113071924717;44701.6516808;14402.1655;0;01.06.2019
Hamburg;2015;;173348.664415519;72.8919;138.40811100000002;66614.24854292735;43380.0350268568;3114.284519134774;44517.7346256;15511.06169;0;01.06.2019
Hamburg;2016;;173965.900740863;34.919664;176.44321728;67967.7225091396;41925.3418649871;3136.9589050565223;44728.4661304;15996.04845;0;23.08.2019
Hamburg;2017;;174659.059386248;25.4744626324129;168.2684037;69692.07574078404;40887.9662708966;3200.830924634494;44189.2074536;16495.23613;0;01.09.2019
Hessen;1991;;800086;10210;8620;480123;166902;1297;120406;12529;0;08.03.2007
Hessen;1992;;814159;8263;7129;498558;164865;1269;121483;12591;0;09.06.2009
Hessen;1993;;820220;7280;6733;506821;165593;845;119029;13918;0;21.09.2009
Hessen;1994;;805143;7321;6715;495554.326;162096;1430;119531;12498;0;12.05.2003
Hessen;1995;;808748;5987;5500;493241;169980;1740;120073;12227;0;06.03.2006
Hessen;1996;;864990;8167;6912;520076;185534;1760;122400;20141;0;06.03.2006
Hessen;1997;;837278;9351;6067;515481;169167;2644;121705;12863;0;03.12.2002
Hessen;1998;;823023;4564;5070;502873;161727;2734;124704;21351;0;03.12.2002
Hessen;1999;;807720;5312;4200;491057;159506;2800;123045;21800;0;03.12.2002
Hessen;2000;;832101;4795;4253;488632;170455;13723;125849;24394;0;01.10.2008
Hessen;2001;;857439;4491.75;4558.484;496306.83700000006;183592.76;15614;124516.8;28358;0;01.10.2008
Hessen;2002;;830585;4354.5;3935.225;476359.68200000003;177880.28;15387;123994.8;28674;0;01.10.2008
Hessen;2003;;837447;3893;4147;471263;183561;19124;125741;29718;0;06.02.2014
Hessen;2004;;827491;3669;4412;459141;181308;20508;127508;30919;26;02.03.2015
Hessen;2005;;843500;3591;3464;456477;193272;23597;131861;30950;288;16.03.2009
Hessen;2006;;840788;3906;2480;448511;181942;30390;141663;30818;1078;16.03.2009
Hessen;2007;;795582;4046;2570;412987;178077;31138;136595;29045;1124;30.11.2010
Hessen;2008;;821014.4;3816;2825;446880;169866;29973;137084.4;29081;1489;19.05.2011
Hessen;2009;;780281.481;3321;2907.4809999999998;412574;167186;30627;132138;29860;1668;02.04.2012
Hessen;2010;;797334.971;3799;2782;419323.971;164011;37371;134138;33762;2148;23.01.2013
Hessen;2011;;762342;3991;2541;408801;145186;35401;131290;33248;1884;16.12.2013
Hessen;2012;;771444.4942;3593.1259999999997;2734.681;416109.0749999999;145364.086;34554.171;131833.5192;35366.578;1889.258;18.03.2015
Hessen;2013;;789798.324253912;3468.560851;2385.180544;428322.30586713983;151375.917788;36622.97848697165;131407.5753468;34220.7432;1995.06217;01.12.2016
Hessen;2014;;775084.399644671;3293.2440619999998;2343.996198;433724.8372495465;143456.433997535;32457.93720359009;127416.346494;30325.068;2066.53644;25.01.2017
Hessen;2015;;791732.01113918;3255.7476420000003;2618.81696;438371.15957373165;153055.672726558;34402.00747209089;125795.8307288;32330.696256;1902.07978;04.04.2018
